X,Y,Yaw
0,3.8,1.3258177
0.001,3.804,1.325817664
0.002,3.80796,1.323442371
0.003,3.811833437,1.318144422
0.004,3.815615977,1.312336903
0.005,3.819305098,1.306089997
0.006,3.822899199,1.299426268
0.007,3.826397217,1.292347005
0.008,3.829798437,1.284841987
0.009,3.833102381,1.276893106
0.01,3.836308741,1.268476272
0.011,3.839417336,1.259562261
0.012,3.842428086,1.250117316
0.013,3.845340989,1.240102628
0.014,3.848156112,1.229474976
0.015,3.850873576,1.218185392
0.016,3.853493551,1.206179472
0.017,3.856016246,1.193395977
0.018,3.858441911,1.179767505
0.019,3.860770825,1.165217683
0.02,3.863003298,1.149662025
0.021,3.865139667,1.133005987
0.022,3.867180291,1.115143434
0.023,3.869125553,1.095956519
0.024,3.870975853,1.07531248
0.025,3.872731612,1.053064304
0.026,3.874393265,1.029046738
0.027,3.875961264,1.003077048
0.028,3.877436073,0.974951628
0.029,3.87881817,0.944446953
0.03,3.880108043,0.911317519
0.031,3.881306191,0.875298342
0.032,3.882413124,0.836107572
0.033,3.883429358,0.793449634
0.034,3.884355418,0.747027755
0.035,3.885191838,0.696557152
0.036,3.885939157,0.64178306
0.037,3.886597918,0.582509462
0.038,3.887168674,0.518638952
0.039,3.887651977,0.450201007
0.04,3.888048389,0.377409452
0.041,3.888358473,0.300682304
0.042,3.888582795,0.220669019
0.043,3.888721925,0.138242564
0.044,3.888776436,0.054457104
0.045,3.888746904,-0.029523419
0.046,3.888633905,-0.112521699
0.047,3.888438018,-0.193437642
0.048,3.888159826,-0.271331359
0.049,3.887799908,-0.345482987
0.05,3.88735885,-0.415392923
0.051,3.886837235,-0.480789705
0.052,3.886235647,-0.541586329
0.053,3.885554673,-0.597842385
0.054,3.884794898,-0.649727812
0.055,3.883956909,-0.697479599
0.056,3.883041291,-0.741377129
0.057,3.882048631,-0.781714662
0.058,3.880979515,-0.818789385
0.059,3.879834529,-0.852888487
0.06,3.878614259,-0.884283245
0.061,3.877319288,-0.913226631
0.062,3.875950202,-0.939948347
0.063,3.874507585,-0.964659064
0.064,3.872992019,-0.987549062
0.065,3.871404088,-1.008788367
0.066,3.869744371,-1.028531553
0.067,3.86801345,-1.046914961
0.068,3.866211905,-1.06406197
