X,Y,Yaw
0,5.2,-0.46365
0.001,5.1995,-0.463647609
0.002,5.199005,-0.459639614
0.003,5.198505212,-0.463477995
0.004,5.197990812,-0.475101133
0.005,5.19745298,-0.493453204
0.006,5.196883836,-0.517422204
0.007,5.196276355,-0.545902085
0.008,5.19562429,-0.577825521
0.009,5.194922089,-0.612201619
0.01,5.194164832,-0.648129434
0.011,5.193348161,-0.684823846
0.012,5.192468225,-0.721618781
0.013,5.191521627,-0.75797154
0.014,5.190505377,-0.793457505
0.015,5.18941685,-0.827760095
0.016,5.188253748,-0.860657651
0.017,5.187014069,-0.892007319
0.018,5.185696073,-0.921732885
0.019,5.184298258,-0.949807902
0.02,5.182819335,-0.976244879
0.021,5.181258206,-1.001084504
0.022,5.179613946,-1.024386505
0.023,5.177885785,-1.046223459
0.024,5.176073092,-1.066675401
0.025,5.174175363,-1.085825312
0.026,5.172192206,-1.103757282
0.027,5.170123332,-1.120553399
0.028,5.167968545,-1.136292896
0.029,5.165727731,-1.151051598
0.03,5.163400852,-1.16490066
0.031,5.160987937,-1.177906988
0.032,5.158489078,-1.190132508
0.033,5.155904422,-1.201634958
0.034,5.153234165,-1.212467778
0.035,5.150478551,-1.222679793
0.036,5.147637862,-1.232316617
0.037,5.14471242,-1.241419538
0.038,5.14170258,-1.250026876
0.039,5.138608727,-1.258173804
0.04,5.135431273,-1.265892631
0.041,5.132170657,-1.273212804
0.042,5.128827339,-1.280161695
0.043,5.125401801,-1.286764203
0.044,5.121894541,-1.293043544
0.045,5.118306076,-1.299020722
0.046,5.114636938,-1.304715263
0.047,5.110887671,-1.310145262
0.048,5.107058833,-1.315327193
0.049,5.103150992,-1.320276443
0.05,5.099164728,-1.325007044
0.051,5.095100626,-1.329532325
0.052,5.090959282,-1.333864229
0.053,5.086741299,-1.338014005
0.054,5.082447285,-1.341992149
0.055,5.078077854,-1.345808318
0.056,5.073633626,-1.349471454
0.057,5.069115224,-1.352989996
0.058,5.064523276,-1.356371677
0.059,5.059858411,-1.359623867
0.06,5.055121263,-1.362753241
0.061,5.050312468,-1.365766145
0.062,5.045432663,-1.368668534
0.063,5.040482488,-1.371465884
0.064,5.035462582,-1.374163463
0.065,5.030373587,-1.376766044
0.066,5.025216144,-1.379278242
0.067,5.019990897,-1.381704235
0.068,5.014698487,-1.384048149
0.069,5.009339555,-1.386313753
0.07,5.003914745,-1.388504484
0.071,4.998424696,-1.390623836
0.072,4.99287005,-1.392674839
0.073,4.987251446,-1.394660533
0.074,4.981569521,-1.39658375
0.075,4.975824914,-1.398447041
0.076,4.97001826,-1.400252992
0.077,4.964150193,-1.402003953
0.078,4.958221346,-1.40370215
0.079,4.952232349,-1.405349739
0.08,4.946183832,-1.406948683
0.081,4.940076421,-1.408500943
0.082,4.933910742,-1.410008275
0.083,4.927687418,-1.411472422
0.084,4.921407069,-1.412895036
0.085,4.915070313,-1.41427766
0.086,4.908677767,-1.415621737
0.087,4.902230044,-1.416928711
0.088,4.895727756,-1.418199882
0.089,4.889171511,-1.419436559
0.09,4.882561915,-1.420639943
0.091,4.875899572,-1.421811177
0.092,4.869185082,-1.422951395
0.093,4.862419044,-1.424061613
0.094,4.855602052,-1.425142887
0.095,4.848734699,-1.42619614
0.096,4.841817576,-1.427222276
0.097,4.834851268,-1.428222239
0.098,4.82783636,-1.429196811
0.099,4.820773433,-1.430146821
0.1,4.813663064,-1.43107306
0.101,4.806505829,-1.43197623
0.102,4.7993023,-1.432857058
0.103,4.792053046,-1.433716223
0.104,4.784758633,-1.434554378
0.105,4.777419624,-1.435372147
0.106,4.770036579,-1.436170128
0.107,4.762610054,-1.436948916
0.108,4.755140604,-1.437709026
0.109,4.747628779,-1.438451025
0.11,4.740075127,-1.439175406
0.111,4.732480192,-1.439882676
0.112,4.724844514,-1.440573323
0.113,4.717168634,-1.441247734
0.114,4.709453084,-1.441906446
0.115,4.701698397,-1.442549811
0.116,4.693905102,-1.443178252
0.117,4.686073724,-1.443792174
0.118,4.678204785,-1.444391954
0.119,4.670298804,-1.444977954
0.12,4.662356297,-1.445550521
0.121,4.654377777,-1.446109995
0.122,4.646363754,-1.446656699
0.123,4.638314732,-1.447190994
0.124,4.630231216,-1.447713121
0.125,4.622113706,-1.448223403
0.126,4.613962698,-1.448722138
0.127,4.605778685,-1.449209599
0.128,4.597562158,-1.449686036
0.129,4.589313604,-1.450151717
0.13,4.581033507,-1.450606891
0.131,4.572722348,-1.451051795
0.132,4.564380603,-1.451486691
0.133,4.556008749,-1.451911744
0.134,4.547607255,-1.452327242
0.135,4.539176589,-1.452733366
0.136,4.530717218,-1.453130293
0.137,4.522229601,-1.453518288
0.138,4.513714198,-1.453897487
0.139,4.505171465,-1.454268089
0.14,4.496601853,-1.454630301
0.141,4.488005811,-1.454984284
0.142,4.479383786,-1.455330192
0.143,4.470736219,-1.45566823
