X,Y,Yaw
0.074,-0.566202579,-1.497654974
0.075,-0.579691396,-1.496796213
0.076,-0.593022739,-1.495925344
0.077,-0.606198067,-1.495042132
0.078,-0.619218826,-1.494146354
0.079,-0.632086444,-1.493237754
0.08,-0.644802332,-1.492316074
0.081,-0.657367889,-1.491381076
0.082,-0.669784497,-1.490432487
0.083,-0.682053523,-1.489470036
0.084,-0.694176321,-1.488493458
0.085,-0.706154228,-1.48750245
0.086,-0.717988571,-1.486496753
0.087,-0.729680658,-1.485476032
0.088,-0.741231789,-1.484440025
0.089,-0.752643245,-1.483388376
0.09,-0.763916298,-1.482320798
0.091,-0.775052205,-1.481236945
0.092,-0.786052211,-1.480136489
0.093,-0.796917547,-1.47901907
0.094,-0.807649434,-1.477884354
0.095,-0.818249078,-1.476731952
0.096,-0.828717674,-1.475561498
0.097,-0.839056406,-1.474372616
0.098,-0.849266446,-1.473164909
0.099,-0.859348953,-1.471937956
0.1,-0.869305077,-1.470691363
0.101,-0.879135953,-1.469424664
0.102,-0.88884271,-1.468137469
0.103,-0.898426461,-1.466829273
0.104,-0.907888312,-1.46549965
0.105,-0.917229357,-1.464148105
0.106,-0.926450678,-1.462774128
0.107,-0.935553349,-1.461377238
0.108,-0.944538434,-1.459956917
0.109,-0.953406984,-1.458512592
0.11,-0.962160042,-1.457043732
0.111,-0.970798642,-1.45554978
0.112,-0.979323807,-1.454030131
0.113,-0.987736551,-1.45248419
0.114,-0.996037878,-1.450911325
0.115,-1.004228783,-1.449310901
0.116,-1.012310251,-1.447682243
0.117,-1.020283261,-1.446024718
0.118,-1.028148778,-1.444337545
0.119,-1.035907763,-1.442620076
0.12,-1.043561165,-1.440871512
0.121,-1.051109926,-1.439091109
0.122,-1.058554978,-1.437278045
0.123,-1.065897246,-1.435431525
0.124,-1.073137647,-1.433550708
0.125,-1.080277087,-1.431634666
0.126,-1.087316468,-1.429682573
0.127,-1.094256679,-1.427693399
0.128,-1.101098606,-1.425666276
0.129,-1.107843123,-1.423600122
0.13,-1.1144911,-1.421493984
0.131,-1.121043395,-1.419346702
0.132,-1.127500863,-1.417157273
0.133,-1.133864347,-1.414924454
0.134,-1.140134687,-1.412647165
0.135,-1.146312712,-1.410324097
